seconds,lateral_velocity,u,v
86699,0.24525708,-0.23207688,0.079318084
86999,0.2498055,-0.23771362,0.07677911
87299,0.25119963,-0.24051397,0.07248643
87599,0.25768083,-0.2475218,0.07164057
87899,0.27122134,-0.26169813,0.07123981
88199,0.25640926,-0.24893665,0.06145122
88499,0.2773718,-0.2692533,0.06661644
88799,0.27398652,-0.2662326,0.06472103
89099,0.27163807,-0.2644921,0.06189643
89399,0.2723037,-0.26575708,0.05935046
89699,0.27082744,-0.26446122,0.058376126
89999,0.27112013,-0.26535216,0.055626884
90299,0.26450145,-0.26017052,0.047668763
90599,0.26573217,-0.2616858,0.04619666
90899,0.2620921,-0.2585982,0.04265254
91199,0.2472341,-0.24485177,0.03423908
91499,0.24353017,-0.24169971,0.029802676
91799,0.20228161,-0.20226894,0.0022626638
92099,0.24392797,-0.24292864,0.022057587
92399,0.234662,-0.23371813,0.021025913
92699,0.23006427,-0.22936828,0.017881922
92999,0.22549401,-0.22513275,0.012759217
93299,0.21700679,-0.2168439,0.00840634
93599,0.21029499,-0.21027428,0.0029511282
93899,0.19379494,-0.1937739,-0.0028549468
94199,0.18761863,-0.18744026,-0.008179041
94499,0.17616607,-0.1758039,-0.01129024
94799,0.16322076,-0.16272174,-0.012753663
95099,0.15009263,-0.14857523,-0.021288373
95399,0.12287363,-0.11745641,-0.036082152
95699,0.13884562,-0.13677035,-0.023915993
95999,0.13198112,-0.12857619,-0.029785536
96299,0.117377676,-0.113186516,-0.031085853
96599,0.11203665,-0.10569651,-0.03715456
96899,0.09908271,-0.09033264,-0.04071114
97199,0.0875762,-0.07693737,-0.041835792
97499,0.07659029,-0.06476017,-0.040892463
97799,0.07157871,-0.05266137,-0.048479814
98099,0.06119419,-0.033561368,-0.051169947
98399,0.053073056,-0.014222233,-0.051131964
98699,0.062529184,0.0048244046,-0.06234279
98999,0.066706024,0.026539234,-0.061199374
99299,0.082331195,0.04930047,-0.06593854
99599,0.0909145,0.06849391,-0.0597832
99899,0.10780424,0.081376195,-0.07070834
